iter	Passed	Remaining
0	1	104
1	1	92
2	2	92
3	3	85
4	4	86
5	5	84
6	6	84
7	7	82
8	8	81
9	8	80
10	9	80
11	11	82
12	12	82
13	13	81
14	14	80
15	15	79
16	16	78
17	16	77
18	17	76
19	18	75
20	19	73
21	20	72
22	21	71
23	22	70
24	23	69
25	23	68
26	25	67
27	27	70
28	28	69
29	29	68
30	30	66
31	31	67
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	54
44	43	53
45	44	51
46	45	50
47	46	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	68	24
74	69	23
75	70	22
76	71	21
77	73	20
78	74	19
79	75	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
